tiempoEspera,tiempoServicio,tiempoLlegadas,tiempoRealAtencion
57.4,19.4,496,63.3413
110,18.8,913,80.678
129.2,29,1294,111.828
124,27.4,1277,99.0454
109.6,26.5,1189,88.6108
102.4,19.5,910,78.9226
114.5,25.7,1185,103.239
112.7,19.1,914,73.0158
105.3,25.5,1090,108.01
108.6,23.1,808,101.464
136.7,21.9,1020,89.4321
105.7,29.7,681,119.548
104.9,29,792,114.064
97.3,30.7,733,137.263
108.5,23.9,933,88.3105
67.2,20.2,487,62.3196
84.1,19.5,518,88.8088
110.1,21.4,840,96.2243
95.2,27.7,716,106.266
105.2,31.7,551,98.1424
84.5,22,661,98.3129
157.3,27.4,1215,93.2762
96.9,21,622,88.6904
93.6,18.8,500,69.8906
116.9,23,860,100.786
108.1,23.2,857,100.632
97.8,27.2,1062,91.5397
148.4,22.8,910,95.5141
99.9,26.5,727,101.43
90.3,20.1,758,78.1607
83,28.8,442,101.14
117.3,25,575,90.3023
98.2,18.9,877,77.8301
113.7,20.9,979,77.3251
139.2,21.9,1010,97.9881
104.5,20.2,623,80.6533
102.1,23.5,950,101.619
98.1,23.3,882,111.4
113.8,22.1,865,89.6169
130.9,21.5,935,82.1541
152.1,27.7,1049,106.606
108.6,21.8,885,85.2647
127,23.2,937,93.0599
113.1,22.2,874,92.5443
118.3,22.2,849,83.6796
126.1,27.3,1312,104.602
158.5,31.1,1505,117.738
128.4,20.9,859,80.8375
123.9,23.7,786,82.3229
134.1,20.9,849,82.2728
111.9,19.8,809,73.8408
95.4,18.3,723,69.0793
100.4,18,744,75.9921
98.6,18.3,770,73.3258
74.3,19.7,678,79.9973
85.7,20.5,639,75.7166
104,23.9,812,80.3529
105.1,25.5,625,96.9798
113.7,31,580,111.579
100,22.8,1188,90.2357
80,17.6,545,68.3437
100,30.1,736,102.01
107.3,23.4,819,91.143
144.2,23.5,1116,88.1066
112.1,25.1,1167,96.8292
126.2,20.9,1018,85.0489
110.5,19.3,917,79.6494
106.4,20,908,91.8454
106.5,26.8,870,108.989
97.9,23,814,86.2779
123.4,29.5,1372,104.518
107.5,22,604,97.7594
133.8,31.1,1190,111.188
137.7,26.9,1298,115.782
140.2,24.7,1001,116.068
139.3,25,1252,99.4981
118.1,29.9,1194,121.399
115,29.9,1201,113.154
128.9,29,1290,103.811
126.9,27.4,1259,102.064
113.6,26.6,1180,94.6755
68.3,19.5,492,62.6854
104.6,23.3,816,92.4207
119.9,23.2,902,101.347
94.7,34,476,110.591
135.2,22.1,1020,84.9346
100,24.7,784,85.0718
88.4,19.3,782,78.0261
104,24.1,936,85.1239
95.4,22,598,94.3032
104,18.8,722,77.5755
103.3,25.5,1098,109.149
101.2,31.2,1204,96.0165
113.9,27.5,594,104.903
86.1,23.9,672,94.9656
116.9,23,860,93.7208
116.9,23,860,93.7208
118.3,28.5,1129,103.8
98.1,19.4,534,66.6397
114,27.4,1091,93.1353
98.2,21.4,629,85.678
84,18.1,721,69.5508
117,22.4,1079,84.6397
120,22.8,882,87.4695
98,23.1,974,96.1483
85.8,21,639,71.6954
112.9,27.3,1125,97.6611
103,26.4,732,89.7093
123.4,23.1,901,111.99
86,20.3,629,83.7755
110.5,21.9,869,88.1562
136.6,22.2,961,89.8336
93.8,20.6,812,76.6136
105.7,23.3,602,82.8537
117.5,30.8,1122,110.477
138.9,26.5,1027,102.766
114.7,22.4,893,99.554
110.2,22.5,861,100.982
115.4,22.5,830,101.576
111.1,20.3,872,86.2601
106.6,27.4,720,91.0233
97.1,20.7,815,76.0101
99.5,27.1,728,97.4766
120.7,26.8,1211,101.643
136.2,24.2,978,97.9803
101.1,24.2,818,81.6457
81.7,17.7,552,65.5898
107.9,25.6,639,101.676
137.2,29.6,1406,119.315
102.4,18.8,891,74.8971
101.2,20,853,88.6609
116.1,21.6,898,93.1483
116.5,19.8,965,92.3437
108.3,27.1,1244,100.424
102,24,742,90.9771
100,32.5,547,98.1267
116.1,24.5,1362,69.0596
99.8,22.2,758,104.055
126.7,30.4,729,98.6918
127.8,23.5,1084,91.8353
106.8,22.1,942,109.035
108.9,24.3,1115,100.147
158.5,17,715,72.5833
99.5,22.9,658,78.6202
115,18,798,81.9244
110.7,18.5,765,83.8594
90.1,18.8,671,76.9735
90.5,18.2,664,70.1699
89.6,17.6,729,75.0119
50.5,30,654,86.8349
91.6,19,839,85.6748
154.5,30.6,1452,122.085
137.4,29.4,1319,108.302
123.5,33.5,883,114.716
122.8,26.7,1020,132.166
83.2,26.4,891,104.199
113.6,25.5,1196,102.856
124.9,26,1217,120.793
157.9,26.9,1462,96.3526
135.6,25.1,984,101.851
127.8,33,1065,112.028
50.5,30,654,109.453
90.9,21.6,764,94.4977
112.2,30,1022,103.374
128.7,31,1119,110.056
114.2,28,1016,97.3678
127.3,19.7,1449,71.3876
127.3,19.7,1449,71.3876
86.1,22.4,733,94.2303
86.8,18.1,714,76.5737
88.4,21.5,554,85.6291
123.3,29,1212,96.8907
97.7,22.2,885,86.5268
111,25.9,1045,109.784
101.1,28.7,600,102.024
108,19.8,860,85.7864
101.4,18.2,868,75.8429
99.9,27.8,732,106.954
123.1,22.8,948,93.3383
141.9,26,1422,90.6105
99.5,23.9,1353,85.1939
107.6,21.9,696,84.6175
74.7,22.4,781,88.7573
70.4,18.6,515,88.0254
65.3,18.2,532,82.8648
97.4,23.7,888,89.5096
84.9,23.6,969,98.1507
107,25.5,988,95.8615
120.7,23.4,905,88.2398
120.7,23.4,905,88.2398
94.7,24.2,788,83.7605
92.2,17.5,693,78.9599
80.2,21.9,611,87.1522
101.5,27,704,109.085
111.9,23.7,857,96.6832
114,22.7,876,90.154
123,24.1,902,89.3128
136.2,24.2,978,85.6415
136.2,24.2,978,85.6415
95.8,25.5,1383,87.408
97.7,29,564,102.91
98.3,24.9,1365,82.6771
86.5,23.4,929,97.1441
93.2,21.4,778,90.9539
82.5,20.8,647,70.5445
98.7,18.2,890,73.6541
101.2,19.8,853,84.7949
90,25.8,527,85.6784
117.9,27.6,1197,92.5689
112.7,27.2,1210,94.5149
107.3,26.8,1066,99.4495
113.7,28.9,1011,96.8785
106.2,22.9,845,96.1365
102.2,24.8,1363,86.7973
147.6,23.2,969,75.7453
89.8,21,612,77.5814
118,21,904,85.4605
84,20.4,528,86.7916
86.9,17.3,677,73.9026
103.9,26.4,523,92.6312
79.2,20.9,964,83.174
97.7,19.9,737,80.0137
93.3,24.6,779,85.0473
94,22.9,817,92.3215
99.7,22.1,806,87.9663
115.3,31,1055,110.74
87.8,21.5,455,83.3509
76.7,22.4,947,96.4783
136.6,22.2,961,82.0213
138.9,26.5,1027,113.307
114.7,22.4,893,97.725
110.2,22.5,861,96.1066
58.1,16.8,372,61.1508
115.4,22.5,830,103.416
96.7,20,810,76.4763
84.7,23.7,995,98.674
94.4,18,698,71.5
110.3,30.4,729,95.0908
125.3,27.4,1284,100.814
79.6,18.9,499,64.7002
91.2,20,633,85.2843
58.1,16.7,372,53.8695
123.7,30.5,1179,100.974
102.8,23.2,953,108.213
116.1,21.5,898,90.0344
116.5,19.8,965,90.6805
91.6,19,839,76.8046
87.4,24.6,1127,100.784
115.6,29.9,749,92.3457
129.8,17.7,865,72.8046
99.5,22.9,658,78.0597
115,18,798,77.4201
110.7,18.5,765,68.6373
90.1,18.8,671,71.3432
90.5,18.2,664,70.8888
89.6,17.6,729,68.3399
80.8,28.9,532,75.5645
93,21.2,802,83.0155
104.2,32.6,752,65.2718
86.9,22.6,786,94.3337
98.4,22.6,1117,81.8468
126.2,29.9,1299,102.431
111.1,20.3,872,81.6235
127.1,20.5,1287,77.7625
137.2,29.6,1406,107.885
108,19.8,860,84.5711
92.1,26.4,1238,114.929
157.8,30.9,1453,112.634
106.6,26.9,831,114.194
115,26.6,1130,96.0458
98.3,25.3,934,106.8
124.2,32,1421,102.841
101.9,21.8,580,93.5729
85.7,26.2,1057,101.994
136.6,25.6,1235,99.8161
117.9,25.5,988,96.6928
127.3,19.7,1449,69.0635
113.6,28.6,949,103.015
113.1,32,1140,105.169
135.8,26,1422,89.7411
127.8,33,1065,110.144
109.2,32,564,132.61
104.4,22.3,880,89.3577
100.5,28.5,616,95.2137
138.6,29.1,1311,100.502
91.2,23.5,765,95.1768
132.3,22.8,969,84.5014
80.1,18.6,515,80.9057
88.7,22.3,575,77.8356
88,26,539,119.646
120.7,23.4,905,95.0549
75.4,15.3,677,72.0186
82.7,15.4,722,69.0687
112.2,30,1022,101.879
89.7,20.8,746,81.5847
95.2,27.7,570,97.0292
87.4,20.1,822,88.172
118.9,28.4,1204,100.815
111.9,23.7,857,89.7946
101,24.9,1365,82.7829
123.5,22,933,70.977
101.4,18.2,868,75.8223
92,23.6,985,98.5721
99.1,22.1,657,85.6188
149.6,22.2,1006,76.4277
100.5,23,879,107.154
89.6,34,1192,103.168
74.7,30.8,713,62.9393
92.1,18.8,519,72.5218
114.2,28,1016,90.3619
117.9,27.6,1197,99.2946
112.7,27.2,1210,92.6445
98.7,18.2,890,78.8824
117.4,19.8,957,82.5812
99.5,21.5,779,80.7725
91.5,19.5,656,68.1789
114,22.7,876,95.102
123.9,22,984,101.866
101,24.8,716,102.659
86.1,21.8,600,85.9074
80.3,24.9,671,88.8027
95,30.5,522,103.775
90.2,23.3,934,97.8794
99.3,22.8,851,98.533
113.7,28.9,1011,94.4155
92.7,19,590,85.3904
79.1,22.6,950,91.9397
96.2,20.1,745,78.1492
123,24.1,902,93.2336
125.3,27.4,1284,103.514
93.8,17.5,688,77.6859
75.6,19.4,497,64.7198
92.5,30.2,522,98.9851
150.3,21.2,974,76.5656
106,23.3,869,103.997
102.4,26.8,1085,100.961
85.6,22.2,577,96.5409
126.2,29.9,1299,102.666
157.8,30.9,1453,117.037
107.4,25,796,87.0868
115.3,31,1055,104.38
99.2,19.9,815,94.1123
76.7,18.6,663,84.7373
120.1,20.5,968,88.037
75.1,18.4,793,80.439
85.5,18.9,834,82.9113
86.3,23.9,995,94.7491
138.6,29.1,1311,103.402
95.9,20.2,629,82.5177
128.9,22.1,1007,91.5727
89.6,14.6,757,61.8102
86.2,32.6,752,65.8918
138.6,24.2,996,91.3269
67.1,16.6,431,59.7356
81.9,19.1,517,65.217
104.2,27.3,1454,105.334
84.8,21.8,551,78.5559
125.3,19.9,856,79.8753
114.6,18.7,782,83.5242
81.9,17.7,731,78.2958
110.6,18.4,820,81.0921
116,18.9,780,84.8658
89.5,19,685,70.597
87.4,17.2,678,77.954
96.6,17.9,742,77.2024
91.7,22.6,798,98.8869
85.2,24.6,1119,106.581
118.8,30.2,1192,110.66
126.9,22.4,964,92.1771
121.6,24.1,1337,86.2993
92.9,29.8,709,106.726
105.4,25.6,1235,101.329
109.6,25.4,1022,96.5169
104.9,23.7,923,99.5652
88.8,24.8,535,81.6066
139.9,24.8,1031,110.768
114.8,22.9,894,101.51
106.6,22.9,858,101.771
105.4,22.8,840,91.9955
111.2,20.4,879,91.1259
101.8,32.3,551,107.275
87.3,24.5,430,89.0597
98.8,28.2,486,111.746
119.7,18,824,89.9945
115.6,30,475,99.6152
109.2,26.9,1078,96.468
83.6,18.7,517,86.701
98.1,26.5,1254,123.039
98.5,24.9,935,116.394
107.1,27.7,842,120.515
116.8,31.4,752,126.947
155.1,18.3,1572,78.1528
100.2,22.1,777,90.6352
98.4,21.6,586,96.2687
126,32.2,1383,110.082
116.3,33.2,1096,115.829
132.1,20.3,1392,89.9505
140.6,19.4,1503,75.8523
139.7,25.2,990,109.289
105.7,29.8,1315,108.522
101.3,22.4,881,95.0452
83,26.2,1067,105.132
118.9,28.4,1204,100.105
112.4,27.6,1189,103.223
116.3,26.9,1204,92.3568
94.9,28.5,751,107.587
91.6,23.7,775,100.882
112.3,32.2,560,122.016
98.9,19.1,845,78.1112
101.4,20,861,83.3961
140.1,25.5,1466,92.8739
81.3,28.9,459,133.25
94,22.1,860,89.7725
148,23,1075,89.4331
122.4,23.5,904,97.2733
83,23.9,501,106.885
120.6,24.9,1533,102.193
89.3,20.4,579,87.2133
112.5,24.3,1031,90.6298
73.2,19.7,455,94.4216
97.1,21.7,590,94.2205
110.1,26.2,698,136.161
111.4,30.9,1046,107.461
69.9,22.6,537,78.3786
80.1,18.4,530,67.0701
86,18.1,691,73.9564
98.8,22.2,651,87.0109
88.7,24.3,990,105.927
84.7,20.8,732,75.5091
93.5,20.5,819,84.5782
115.2,21.6,927,79.7461
103.6,18.3,868,75.2264
79,29.3,393,92.4147
94.2,18.5,888,68.2102
89.9,25.8,570,106.737
101.4,28,717,99.0476
115.8,18,1399,70.2914
82.2,19,527,79.0623
113.8,15.4,686,74.1153
117.1,23.5,860,90.3919
88.8,19.3,661,70.8815
91.9,21.9,610,86.7986
114.6,27.4,1052,103.193
97.3,23.4,850,93.3813
131,27.3,1269,103.996
94,21.5,776,89.054
89.5,23.1,564,100.913
85.6,23.3,948,100.029
87.9,25.5,609,107.35
116.1,22.7,884,96.4146
122.8,13.9,756,66.6957
70.6,20.8,612,88.2478
98.6,30.6,519,117.154
97.7,22.7,1140,84.2301
85.2,27.8,402,134.77
80.2,22.7,953,98.6282
85.4,17.9,696,74.3009
90.9,19.4,594,87.3437
93.5,20.4,749,91.2029
120.8,19.6,966,81.1922
126.4,27.2,986,86.41
124.9,29.6,1283,94.9974
156.1,30.9,1446,116.155
117.3,21.1,901,99.5222
126.9,22.4,964,102.207
144.3,25,1030,113.528
116,23.4,902,99.4585
111.5,23.2,857,98.2312
110.9,23.4,839,96.263
113.7,20.5,884,98.8467
66.4,17.8,428,64.395
89.4,32.5,454,112.336
115.9,31.1,1061,110.332
86.9,21.3,980,93.2152
94.8,20.3,907,80.8262
79,20.3,625,89.3159
100.1,22.5,646,110.337
91.4,30.1,522,97.2306
127.2,24.1,913,98.7698
76.9,18.8,600,85.6776
109.4,23.8,1362,87.4976
108.6,26.6,885,77.101
124.7,26.9,1456,89.5472
99.4,17.9,714,78.5784
125.3,19.9,856,78.4697
97.7,29.9,563,93.8451
82.2,19,670,91.5214
87.9,24.4,615,106.855
100.4,20.4,637,93.171
86.3,19,527,77.272
130.8,14.7,771,71.753
122.9,19.6,789,81.9296
118.5,18.5,829,73.9726
113.9,18.7,792,69.7847
92.4,18.8,693,81.1892
82.8,17.2,693,78.6143
101.8,17.9,753,79.0219
111,24.1,1151,84.8602
141.8,27.8,1470,102.834
137.1,24.1,1001,104.054
76.3,18.4,587,110.871
100.1,21.9,793,93.1103
125.7,29.1,1306,104.979
124.3,21.1,968,93.6674
100.1,19.2,845,79.6108
101.7,32.4,558,119.4
92.8,24.8,1137,98.9277
91,23.8,1007,99.7335
98.1,26.5,1254,110.563
121.4,31,1207,106.557
92.7,22.2,638,97.9091
120.7,29.3,721,124.893
120,31.6,1476,107.778
100.9,25.1,938,116.881
120.7,23.4,703,132.288
107.1,27.7,850,123.939
125.1,31.4,1368,112.308
111.1,26.1,965,99.4979
124.8,29.4,724,132.417
114.1,32.4,1159,114.205
142.2,18.8,1546,67.8141
142.1,25,995,121.319
120,25.5,1466,101.122
127.7,15.3,732,72.5006
109.5,32.4,561,128.804
98.3,22.7,880,101.725
105.2,20.3,867,80.5386
94.2,18.7,891,78.2073
100.4,18.7,869,83.8596
129,24.2,995,91.0733
121.3,20,987,85.1277
107.8,23.9,782,101.154
85.3,26.2,1072,101.996
75.6,19.1,727,81.6969
97.9,29.9,483,127.6
109.7,30.5,1043,107.414
106.1,26.1,683,113.807
115.7,23,1086,87.149
93.6,28.5,757,110.931
116.6,28.3,1187,103.081
113.9,27.4,1169,96.9268
119.9,26.7,1197,90.0318
124.1,27.3,1266,96.0894
125.2,29.5,1284,90.5617
140.6,15.4,686,67.0088
98.8,22.2,651,93.3403
100.4,20.5,808,94.4745
87.5,24.6,993,96.7857
120.3,21.5,939,82.1285
95.1,25.8,567,106.606
64.2,18.7,762,83.9734
92.1,28,725,102.413
122.4,23.5,900,109.044
105.4,22.3,1002,78.5049
100.3,23.5,856,94.5354
119.6,22.9,887,98.0157
130.1,24,927,94.4356
137.1,24.1,1001,95.3144
148,25.4,1001,100.722
132,24.4,1434,87.4208
114.6,27.4,1052,109.722
97.5,21.5,780,94.3291
90.5,30.4,523,118.468
86.9,21.8,619,89.3103
116.3,22.7,1145,83.9461
95.3,22.8,861,85.7594
108.9,23.1,986,77.0869
116.6,27.1,1178,91.7417
120.9,28.4,1049,107.498
116.4,31.2,1083,104.436
121.4,31,1207,105.039
111.6,30.8,1027,115.266
119.4,31.3,1028,100.76
92.4,21.6,425,120.947
81.2,20.8,721,83.3559
98.4,23.9,875,92.5549
114.1,26.8,1107,91.4241
80.3,26,510,125.721
101.4,20.7,749,105.365
95.8,24.9,696,101.276
125.9,14.3,765,65.7906
130.8,14.7,771,66.4929
81.2,32.3,451,110.653
87.2,29.8,531,108.76
66.3,20.4,430,65.7846
76.3,20.6,621,91.9598
121.8,21.2,905,92.9405
132.1,22.6,974,91.1171
151.1,25.1,1037,114.408
121.3,23.9,909,104.422
121,22.4,873,101.636
110,21.5,836,94.1161
112.3,22.6,866,106.773
117,21.7,859,90.2078
89.1,22.4,1020,81.7733
82.2,19,670,94.3438
82.2,19,670,102.372
100,20.5,808,93.6223
128.6,19.9,865,80.0997
126.9,19.6,800,80.5193
118.6,19,839,91.3322
156.6,30.8,1455,114.503
127.2,29.1,1297,105.802
127.4,29.1,1214,104.096
78.3,19.1,535,69.1343
90,26.6,883,82.9722
93.3,26.5,606,88.5408
97.2,21.6,936,75.4646
83.2,21.7,561,72.984
126.6,27,1147,102.874
99.9,28.1,765,98.8489
103,22,792,108.23
100.1,32.7,553,107.417
95.2,24.7,1144,107.867
89.4,24.1,1014,94.8125
133,23.6,1335,80.8343
89.3,23.4,1144,79.4597
104.6,24.4,660,111.214
101.3,21,697,91.7935
88,23.3,953,94.8485
78.8,22.7,960,105.557
94.3,17.4,696,80.3602
101.2,18.8,755,78.7299
94.3,17.4,696,72.2987
86.6,17.9,656,75.148
100,17.8,749,69.839
108.2,20.3,742,73.4276
113.4,25.7,1285,102.289
105.4,25.5,1062,102.21
104.7,23.6,1166,92.708
109,24.9,945,85.9406
113.4,28.5,469,116.115
74,24.4,736,77.2683
101.6,25.3,935,129.099
95.3,27.5,1265,110.394
122.2,26.4,1121,95.7512
99.5,24.2,849,79.2384
125.8,21.2,977,91.5667
101.6,20,840,76.705
120.4,31.1,1318,101.832
118.6,31.8,1165,110.852
94,32.5,939,105.831
104.5,21.6,608,88.2468
147.9,28.3,1057,99.0241
117.4,24.5,834,94.8024
118,24.2,867,93.363
109.4,33.6,1120,106.602
121.5,24.3,868,102.627
137.3,24.8,982,96.982
136.2,25.5,1346,85.9507
126.3,25.1,906,100.43
144,18.7,1575,74.9179
90.9,26.3,1074,108.526
101.2,23,881,114.3
104.9,23.2,1081,80.3276
100.7,23.1,770,92.1233
105.3,22,714,93.731
97.3,24.2,904,104.339
94.2,22.9,881,92.53
107.7,23,782,83.7306
98.9,22.3,851,92.3027
102.9,24.1,996,89.4555
113.3,26.7,1131,109.45
108.9,25.3,982,110.834
119.9,23.2,1024,106.857
119.3,29.4,1047,100.121
101.1,32.5,680,128.326
92.8,23.2,653,95.7699
89.4,20.9,500,79.4068
100.2,23.2,808,107.158
119.5,26.9,1169,89.0865
109.6,26.1,916,105.448
113.2,15.7,698,65.5197
85.8,22.6,898,84.7852
121.8,20.6,952,77.5206
93.4,28,708,109.371
101.3,23.4,984,83.3596
97.3,24.2,904,102.473
82,19.1,614,99.5334
123.2,26.7,1235,94.5045
94.5,19.4,845,89.6066
101.6,20,840,82.3873
99.7,20.1,885,75.8011
105.7,22.2,854,83.5433
100.1,27.8,550,113.261
100.1,23.6,617,120.775
94.6,24,866,88.7806
97.4,21.6,946,78.1024
85.9,25.2,559,98.7663
130.6,28.9,1318,95.9154
52.8,20.4,356,64.0661
146.1,29,1267,103.401
93.2,24.8,698,97.3473
72.7,20.5,457,78.7578
98.2,21.1,768,93.3628
94.9,24.4,907,109.431
96.8,29.7,517,102.405
89.5,19.1,606,80.0387
156.5,14.7,758,62.9371
127.5,21.8,975,92.65
151.5,25,1062,107.592
116.8,23.7,906,100.62
121,22.4,873,93.9414
110,21.5,836,87.3227
117,21.7,859,91.444
112.3,22.5,866,101.692
87.2,23.1,853,79.5634
116.1,28.9,1009,86.5426
117.4,24.8,1514,106.718
117.6,23.8,1478,98.2647
113.3,22.9,1496,93.4378
111.8,33.2,1020,105.875
118.7,31.7,1171,102.31
72.7,20.3,457,83.9768
106.6,23.4,961,80.9036
93.4,25.4,605,86.7373
92.3,23.4,961,79.3896
97.3,26,713,95.3049
73.5,17.5,495,76.5333
120.7,14.4,757,69.5074
97.4,20.8,788,91.7693
88.9,22.7,889,75.7471
87.3,25.7,580,111.826
104,21.1,769,99.3764
101.9,25.4,1140,101.077
86.8,22.5,558,96.3037
131.8,24.4,1316,83.0715
107.7,25,964,93.7542
81.2,29.7,653,100.69
100.7,22,802,96.0522
80.8,20.3,484,80.7386
100,24.3,950,96.7914
110.3,25.2,972,102.954
98,24,917,92.5992
121.5,24.3,868,112.277
140,26,967,105.882
126.3,25.1,906,105.99
124.6,25,985,86.0614
93,21,680,79.8593
129.7,31.2,1061,113.532
127.4,29.1,1214,88.9197
107.2,25.1,961,121.189
126.6,27,1147,97.1991
119.5,26.9,1169,90.1783
